ID,Chemical Name,Replace USERNAME,Replace REPOSITORY,QR Link Template
1,"Intergard 251 HS, Grey, Part A",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=1
2,"Intergard 251 HS,  Grey, Part B",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=2
3,"Thinner GTA220, Clear",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=3
4,"Interchar 212, Grey, Part A",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=4
5,"Interchar 212, Grey, Part B",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=5
6,"Thinner GTA123, Clear",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=6
7,"Interthane 870, Ral 7035 (Light Grey), Part A",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=7
8,"Interthane 870, Ral 9005 (Black), Part A",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=8
9,"Thinner GTA713, Clear",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=9
10,"Interzinc 22, Grey Part A",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=10
11,"Interzinc 22, Grey, Part B",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=11
12,Lacquer Thinner GP331,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=12
13,Interthane 990E Part B,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=13
14,HILTI CFS-S ACR CP 606,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=14
15,BCR E-PLUS 300 COMP A,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=15
16,ARDROX 800-3,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=16
17,ARDROX 8901 W,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=17
18,AS-90 WELDERS SPRAY,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=18
19,Magnaflux SKC-S,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=19
20,Magnaflux SKD-S2,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=20
21,Magnaflux SKL-SP2,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=21
22,Miyagawa 246-R Lubricant,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=22
23,Fischer EM Plus 390,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=23
24,Petromin Synthetic Engine Oil 5W-30,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=24
25,Petromin Hydraulic Oil AW37,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=25
26,Petromin Grease MP-2,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=26
27,Silicon Sealent,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=27
28,Spray Aerosol Paint,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=28
29,WD-40 Multi use Lubricant,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=29
30,"Interthane 870,  R764, Part A",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=30
31,Jotun Penguard Express Comp B,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=31
32,Pyrolite 15,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=32
33,"Thinner GTA007, Clear",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=33
34,"Intergard 475 HS, Grey, Part A",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=34
35,"Intergard 475 HS, Grey, Part B",YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=35
36,Monokote MK-6/HY,YOUR-GITHUB-USERNAME,YOUR-REPOSITORY-NAME,https://YOUR-GITHUB-USERNAME.github.io/YOUR-REPOSITORY-NAME/?id=36
